0.000000000000000000e+00	5.000000000000000000e-01
1.000000000000000000e+00	1.071176063896951691e-01
2.000000000000000000e+00	9.623839365255670852e-02
3.000000000000000000e+00	9.313833191997786254e-02
4.000000000000000000e+00	9.210444171375511968e-02
5.000000000000000000e+00	9.169866777612725728e-02
6.000000000000000000e+00	9.149517202839294039e-02
7.000000000000000000e+00	9.136572348406245270e-02
8.000000000000000000e+00	9.127010169378167725e-02
9.000000000000000000e+00	9.119439480813444632e-02
1.000000000000000000e+01	9.113278629058754743e-02
1.100000000000000000e+01	9.108213839229342690e-02
1.200000000000000000e+01	9.104034813295164286e-02
1.300000000000000000e+01	9.100582119697667172e-02
1.400000000000000000e+01	9.097728186458245436e-02
1.500000000000000000e+01	9.095368785621381347e-02
1.600000000000000000e+01	9.093418108878301154e-02
1.700000000000000000e+01	9.091805318194724761e-02
1.800000000000000000e+01	9.090471876749345315e-02
1.900000000000000000e+01	9.089369395920413042e-02
2.000000000000000000e+01	9.088457870986299536e-02
2.100000000000000000e+01	9.087704227056528361e-02
2.200000000000000000e+01	9.087081118220559361e-02
2.300000000000000000e+01	9.086565935091495128e-02
2.400000000000000000e+01	9.086139984366431444e-02
2.500000000000000000e+01	9.085787810525866592e-02
2.600000000000000000e+01	9.085496635028525447e-02
2.700000000000000000e+01	9.085255892643531728e-02
2.800000000000000000e+01	9.085056848093162052e-02
2.900000000000000000e+01	9.084892279095327372e-02
